date,open,close,high,low,volume
2020-03-02,201.41,209.47,209.62,197.63,5285526
2020-03-03,209.0,203.43,211.79,202.12,5677200
2020-03-04,205.84,208.74,208.92,202.7,3520352
2020-03-05,201.33,198.79,203.47,196.95,4151707
2020-03-06,190.68,192.85,196.3,189.28,5071909
2020-03-09,173.58,172.81,179.25,170.16,6443000
2020-03-10,181.62,184.35,185.4,173.29,6803867
2020-03-11,178.48,171.89,180.77,170.97,5316998
2020-03-12,160.0,150.68,166.75,150.0,8357743
2020-03-13,162.82,177.17,177.56,152.35,6368355
2020-03-16,150.23,154.66,169.54,150.0,6888003
2020-03-17,157.0,158.67,166.74,150.0,6876285
2020-03-18,150.0,140.02,155.97,135.41,9543242
2020-03-19,137.38,149.49,152.49,130.85,6548186
2020-03-20,148.99,138.41,149.19,138.29,7561254
2020-03-23,136.03,134.97,141.94,133.26,5472629
2020-03-24,144.32,153.6,153.9,143.63,6647422
2020-03-25,154.6,155.13,162.21,145.32,8587796
2020-03-26,156.37,165.79,167.66,154.31,6790307
2020-03-27,159.08,158.34,163.73,157.0,4186742
